 Mineral Name   ,   Locality Count   ,   mindat ID 1   ,   Locality Longname 1   ,   Max Age 1   ,   Min Age 1   ,   mindat ID 2   ,   Locality Longname 2   ,   Max Age 2   ,   Min Age 2   
Cupalite,1,2717,"Khatyrka Meteorite, Listvenitovyi Stream, Khatyrka River, Chetkinvaiam Tectonic Melange, Iomrautvaam Massif, Koryak Upland (Koriak; Koriakskhiye), Kamchatka Krai, Russia",,,,,,
Cuprite,2970,,,,,,,,
Cuproauride,3,,,,,,,,
Cuprobismutite,43,,,,,,,,
Cuprocopiapite,12,,,,,,,,
Cuproiridsite,31,,,,,,,,
Cuprokalininite,1,8185,"Pereval Marble Quarry, Slyudyanka (Sludyanka), Lake Baikal Area, Irkutsk Oblast, Russia",481,481,,,,
Cupromakopavonite,1,242,"Western Ore Field, Scheelite Deposit, Felben Valley, Hohe Tauern, Salzburg, Austria",599,334,,,,
Cupromakovickyite,3,,,,,,,,
Cupromolybdite,1,2656,"Yadovitaya Fumarole, Second Scoria Cone, Northern Breakthrough (North Breach), Great Fissure Eruption (Main Fracture), Tolbachik Volcano, Kamchatka Krai, Russia",3.60E-05,0,,,,
Cuproneyite,1,1981,"Băiţa Mining District (Baita Bihor; Rézbánya), Nucet, Bihor, Romania",80.93,73,,,,
Cupropavonite,18,,,,,,,,
Cupropearceite,7,,,,,,,,
Cupropolybasite,7,,,,,,,,
Cuprorhodsite,34,,,,,,,,
Cuprorivaite,8,,,,,,,,
Cuprosklodowskite,58,,,,,,,,
Cuprospinel,4,,,,,,,,
Cuprostibite,15,,,,,,,,
Cuprotungstite,67,,,,,,,,
Curetonite,1,23170,"Redhouse Barite Mine, Potosi District, Osgood Mts, Humboldt Co., Nevada, USA",,,,,,
Curienite,15,,,,,,,,
Curite,51,,,,,,,,
Currierite,1,190910,"Torrecillas Mine, Salar Grande, Iquique Province, Tarapacá, Chile",174,145,,,,
Cuspidine,67,,,,,,,,
Cuzticite,2,2356,"Moctezuma Mine (Bambolla Mine), Moctezuma, Moctezuma Municipality, Sonora, Mexico",48,18,125882,"Prasolovskoe Au Deposit (Prasolovka Deposit), Kunashir Island, Kuril Islands (Kurile Islands), Sakhalin Oblast, Russia",2.04,1.84
Cyanochroite,4,,,,,,,,
Cyanotrichite,179,,,,,,,,
Cylindrite,17,,,,,,,,
Cymrite,46,,,,,,,,
Cyprine,3,,,,,,,,
Cyrilovite,60,,,,,,,,
Czochralskiite,2,68095,"Morasko Meteorite, Poznań Co., Greater Poland Voivodeship, Poland",,,307444,"Elga Meteorite, Oymyakonsky District, Sakha Republic (Yakutia), Russia",,
Dachiardite-Ca,13,,,,,,,,
Dachiardite-K,1,268166,"Dachiardite-K Occurrence, Momchilgrad Obshtina, Kardzhali Province, Bulgaria",,,,,,
Dachiardite-Na,22,,,,,,,,
Dadsonite,15,,,,,,,,
Dagenaisite,1,223885,"Opohonga Stope, Gold Chain Mine, Tintic District, East Tintic Mts, Juab Co., Utah, USA",32,32,,,,
Daliranite,1,25142,"Zareh Shuran Mine (Zarshuran Mine; Zarshouran Mine; Zarehehuran), Takab (Takan Tepe), West Azerbaijan, Iran",26.9,13.8,,,,
Dalnegorskite,1,4639,"Bor Pit (Boron Pit; Bor Quarry), Dal'negorsk B Deposit, Dalnegorsk, Dalnegorsk Urban District, Primorsky Krai, Russia",66,63,,,,
Dalnegroite,2,10314,"Vorontsovskoe Deposit (Vorontsovsk Gold Deposit), Tur'insk, Turya River, Turinsk-Auerbakovsk Ore Field, Serovsky District, Sverdlovsk Oblast, Russia",310,290,3207,"Lengenbach Quarry, Fäld (Imfeld; Im Feld; Feld), Binn Valley, Valais, Switzerland",245,241
Dalyite,15,,,,,,,,
