,id,mineral,min_age,max_age,locality_longname,rarity_group,is_outlier
199,1304,Dolomite,2800.0,3000.0,"Isua Belt, Nuuk (Godth̴b), Sermersooq, Greenland, Denmark",Ubiquitous,True
201,1304,Dolomite,3050.0,3110.0,"New Consort Mine, Barberton, Ehlanzeni District, Mpumalanga, South Africa",Ubiquitous,True
203,1304,Dolomite,4010.0,4330.0,"Ningqiang Meteorite (Ningqiang Carbonaceous Chondrite), Ningqiang Co., Hanzhong, Shaanxi, China",Ubiquitous,True
204,1662,Gaylussite,66.0,2647.0,"Inner Mongolia, China",Transitional,True
207,1711,Glaukosphaerite,2810.0,2900.0,"Windarra Ni Mine (Mount Windarra; Windarra; Discovery Gossan; Poseidon Deposit), Laverton, Laverton Shire, Western Australia, Australia",Transitional,True
208,1951,Huntite,0.0,2709.0,"132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia",Ubiquitous,True
209,1951,Huntite,470.0,2500.0,"Cloncurry Shire, Queensland, Australia",Ubiquitous,True
210,1969,Hydrocerussite,470.0,2500.0,"Cloncurry Shire, Queensland, Australia",Ubiquitous,True
211,1993,Hydrozincite,1600.0,2500.0,"Coxco Deposit, Borroloola, McArthur River Area, Roper Gulf Region, Northern Territory, Australia",Ubiquitous,True
213,2361,Leadhillite,470.0,2500.0,"Cloncurry Shire, Queensland, Australia",Ubiquitous,True
214,2482,Magnesite,0.0,2709.0,"132 North Ni Mine (Mount Edwards Mine), Widgiemooltha, Coolgardie Shire, Western Australia, Australia",Ubiquitous,True
215,2482,Magnesite,541.0,2500.0,"Outokumpu Cu-Co-Zn-Ni-Ag-Au Ore Field, North Karelia, Finland",Ubiquitous,True
216,2482,Magnesite,541.0,2500.0,"Al Hajar Mine, Mintaqah 'Asir, Saudi Arabia",Ubiquitous,True
217,2482,Magnesite,900.0,2700.0,"North-East District, Botswana",Ubiquitous,True
218,2482,Magnesite,2579.0,2700.0,"Kadoma District, Mashonaland West, Zimbabwe",Ubiquitous,True
219,2482,Magnesite,2584.0,2709.0,"Norseman, Dundas Shire, Western Australia, Australia",Ubiquitous,True
220,2482,Magnesite,2594.0,2727.0,"Mount Charlotte Gold Mine, Kalgoorlie-Boulder, Kalgoorlie-Boulder Shire, Western Australia, Australia",Ubiquitous,True
234,2482,Magnesite,2800.0,3000.0,"Isua Belt, Nuuk (Godth̴b), Sermersooq, Greenland, Denmark",Ubiquitous,True
238,2550,Malachite,0.0,2500.0,"Paratoo Copper Mine, Yunta, Olary Province, South Australia, Australia",Ubiquitous,True
239,2550,Malachite,0.0,2500.0,"Jingemia Cave, Moora Shire, Western Australia, Australia",Ubiquitous,True
240,2550,Malachite,65.0,3350.0,"Coppin Pool, Tom Price, Ashburton Shire, Western Australia, Australia",Ubiquitous,True
241,2550,Malachite,541.0,2500.0,"Coronation Mine, Amisk Lake District, Saskatchewan, Canada",Ubiquitous,True
242,2550,Malachite,541.0,2500.0,"Samiuki Mine, Um Samiuki, Eastern Desert, Red Sea, Egypt",Ubiquitous,True
243,2550,Malachite,541.0,2500.0,"Bidjovagge Gold-copper Deposit, Kautokeino, Finnmark, Norway",Ubiquitous,True
244,2550,Malachite,541.0,2500.0,"Al Masane Mine (Al Massane Mine), Mintaqah Najran, Saudi Arabia",Ubiquitous,True
245,2550,Malachite,541.0,2500.0,"Antler Mine (Antler Gold Mine; Spuyten Duyvel Mine), Arrastra Mt., Hualapai District, Hualapai (Hualpai) Mts, Mohave Co., Arizona, USA",Ubiquitous,True
246,2550,Malachite,541.0,2500.0,"United Verde Extension Mine (Little Daisy Group Of Claims; Little Daisy Shaft; The UVX; The U.V.X. Property; Edith And Audrey Shafts), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
247,2550,Malachite,541.0,2500.0,"United Verde Mine (The Big Hole; Big Hole Property; Hull Mine; Hopewell Tunnel; Patented Claim 3480; Patented Claim 2812; Patented Claims 3348), Jerome, Verde District, Black Hills (Black Hill Range), Yavapai Co., Arizona, USA",Ubiquitous,True
248,2550,Malachite,541.0,2500.0,"Willow Creek District, San Miguel Co., New Mexico, USA",Ubiquitous,True
249,2550,Malachite,1491.0,2500.0,"Dongshengmiao Mine, Urad Rear Banner (Wulate Houqi), Bayan Nur League (Bayannao'er Prefecture), Inner Mongolia, China",Ubiquitous,True
253,2550,Malachite,2500.0,2800.0,"Tip Top Mine (North Coldstream Mine), Burchell Lake Area, Thunder Bay District, Ontario, Canada",Ubiquitous,True
254,2550,Malachite,2500.0,4000.0,"Copper Gorge Prospect, Mount Edgar Station, Marble Bar, East Pilbara Shire, Western Australia, Australia",Ubiquitous,True
