mineral,max_age,counts
Ankerite,91.6,1
Calcite,91.92,1
Malachite,92.0,1
Calcite,92.0,2
Azurite,92.0,1
Ankerite,92.0,1
Siderite,92.0,1
Dolomite,92.0,1
Calcite,93.4,1
Calcite,93.5,1
Ankerite,93.7,1
Calcite,93.7,1
Dolomite,93.7,1
Siderite,93.7,1
Rhodochrosite,93.98,1
Calcite,93.98,1
Calcite,94.0,2
Dolomite,94.0,1
Ankerite,94.0,1
Calcite,94.6,1
Siderite,94.7,1
Calcite,94.7,1
Siderite,94.9,1
Dolomite,95.0,1
Calcite,95.4,1
Siderite,95.4,1
Calcite,95.7,1
Rhodochrosite,96.5,1
Dolomite,96.5,1
Ankerite,96.5,1
Calcite,96.7,1
Siderite,96.7,1
Azurite,96.8,1
Cerussite,96.8,1
Calcite,97.2,1
Calcite,97.4,1
Ankerite,97.7,1
Calcite,97.7,1
Siderite,97.7,1
Dolomite,97.7,1
Calcite,98.0,1
Malachite,98.0,1
Calcite,98.7,1
Dolomite,99.0,1
Cerussite,99.0,1
Calcite,99.0,2
Azurite,99.0,1
Malachite,99.0,1
Azurite,99.6,1
Malachite,99.6,1
Rhodochrosite,100.0,1
Azurite,100.0,5
Malachite,100.0,7
Ankerite,100.0,1
Dolomite,100.0,7
Calcite,100.0,9
Siderite,100.0,3
Aragonite,100.5,1
Malachite,100.5,1
Dolomite,101.0,1
Ankerite,102.0,1
Dolomite,102.0,1
Calcite,102.0,1
Malachite,102.0,1
Malachite,102.3,1
Cerussite,102.3,1
Cerussite,103.0,1
Aragonite,104.0,1
Malachite,104.5,1
Calcite,104.5,1
Aragonite,105.0,1
Calcite,105.0,4
Malachite,105.0,1
Azurite,105.0,1
Dolomite,105.0,2
Calcite,106.0,1
Azurite,106.0,1
Rhodochrosite,107.0,1
Azurite,108.0,2
Malachite,108.0,2
Calcite,108.0,1
Calcite,109.0,2
Dolomite,109.0,1
Siderite,109.0,1
Ankerite,109.1,1
Dolomite,109.1,1
Calcite,109.1,1
Dolomite,109.62,1
Siderite,109.62,1
Rhodochrosite,109.62,1
Ankerite,109.62,1
Calcite,109.62,1
Calcite,109.9,1
Azurite,110.0,1
Dolomite,110.0,1
Calcite,110.0,1
Siderite,111.0,1
Aragonite,112.0,1
Azurite,112.0,1
Ankerite,112.0,1
Calcite,112.0,1
Siderite,112.0,2
Calcite,113.0,2
Calcite,113.3,1
Malachite,113.3,1
Siderite,114.0,1
Dolomite,114.0,1
Malachite,114.0,1
Calcite,114.0,1
Calcite,114.4,1
Calcite,115.0,1
Dolomite,115.0,1
Malachite,115.0,5
Aragonite,115.0,1
Malachite,115.5,1
Calcite,115.5,1
Calcite,116.0,1
Ankerite,117.0,1
Dolomite,117.0,1
Azurite,117.0,1
Siderite,117.0,1
Dolomite,118.0,1
Calcite,118.0,1
Calcite,119.0,2
Dolomite,119.0,1
Siderite,119.0,1
Calcite,120.0,2
Malachite,120.0,1
Calcite,120.5,1
Rhodochrosite,120.5,1
Siderite,120.5,1
Ankerite,120.5,1
Malachite,121.0,2
Azurite,121.0,1
Siderite,121.0,1
Rhodochrosite,122.0,1
Azurite,122.0,1
Malachite,122.0,1
Rhodochrosite,122.1,1
Cerussite,122.1,1
Calcite,123.0,1
Malachite,123.0,1
Azurite,123.0,1
Calcite,123.9,1
Calcite,124.0,2
